trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.1999999999999997, 'e': 0.4584060113052235}",20,0,-29.542664774480954,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.1999999999999997, 'e': 0.44932896411722156}",20,0,-16.809865263702296,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.1999999999999997, 'e': 0.44043165450599925}",30,0,25.78830308460104,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.1999999999999997, 'e': 0.43171052342907973}",20,13,9.421040764830726,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.1999999999999997, 'e': 0.4231620823177488}",25,20,7.462771905605596,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.1999999999999997, 'e': 0.4147829116815814}",20,6,-44.857189810894184,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
46,False,"{'a': 0.1999999999999997, 'e': 0.4065696597405991}",30,0,-89.23550633423403,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
47,False,"{'a': 0.1999999999999997, 'e': 0.39851904108451414}",20,3,-0.9587914385477483,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.1999999999999997, 'e': 0.3906278353585211}",25,13,-27.55858270972214,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
49,False,"{'a': 0.1999999999999997, 'e': 0.38289288597511206}",30,0,-66.72548273832393,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.1999999999999997, 'e': 0.37531109885139957}",20,0,-2.500372785829585,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.1999999999999997, 'e': 0.36787944117144233}",20,4,0.7274634986614417,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.1999999999999997, 'e': 0.3605949401730783}",30,13,-44.613740047931216,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 0}",1
53,False,"{'a': 0.1999999999999997, 'e': 0.35345468195878016}",20,16,6.508496566595597,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1999999999999997, 'e': 0.3464558103300574}",20,0,-6.805304492873193,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.1999999999999997, 'e': 0.3395955256449391}",25,9,-32.67660115964004,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.1999999999999997, 'e': 0.33287108369807955}",25,5,-28.645597266236397,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.1999999999999997, 'e': 0.32627979462303947}",25,0,29.924739039491662,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.1999999999999997, 'e': 0.31981902181630384}",30,0,46.38287829500878,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.1999999999999997, 'e': 0.3134861808826053}",25,0,-78.99201260491829,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
