trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.1999999999999997, 'e': 0.03543695772159864}",20,2,29.103079846782858,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.1999999999999997, 'e': 0.03473525894473856}",20,15,8.734588409641983,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1999999999999997, 'e': 0.034047454734599344}",30,18,22.72792652956825,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1999999999999997, 'e': 0.03337326996032608}",20,10,18.32926265482141,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1999999999999997, 'e': 0.03271243493901982}",20,3,14.386721257588501,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.1999999999999997, 'e': 0.03206468532786077}",30,5,17.7400875816258,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.1999999999999997, 'e': 0.03142976201836771}",25,20,12.551636690324298,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.1999999999999997, 'e': 0.030807411032751076}",20,13,11.80858320528054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.1999999999999997, 'e': 0.0301973834223185}",20,14,-6.877461577512213,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.1999999999999997, 'e': 0.029599435167892}",20,12,13.847708460253614,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.1999999999999997, 'e': 0.029013327082197053}",30,20,18.17890891542413,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1999999999999997, 'e': 0.028438824714184505}",25,3,32.26651747106219,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.1999999999999997, 'e': 0.027875698255247015}",25,18,1.889377762976632,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.1999999999999997, 'e': 0.02732372244729256}",25,10,22.58275490523089,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.1999999999999997, 'e': 0.026782676492638175}",20,9,22.480997320991293,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.1999999999999997, 'e': 0.02625234396568796}",20,0,20.65429943262269,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
184,False,"{'a': 0.1999999999999997, 'e': 0.02573251272635994}",30,18,23.000546537844073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.1999999999999997, 'e': 0.025222974835227212}",25,11,21.77290227447339,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.1999999999999997, 'e': 0.024723526470339388}",20,10,19.514044311059802,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.1999999999999997, 'e': 0.024233967845691113}",25,13,9.653382467880746,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.1999999999999997, 'e': 0.023754103131304997}",20,14,11.220876891367128,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.1999999999999997, 'e': 0.023283740374897}",25,20,9.127663072857764,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.1999999999999997, 'e': 0.02282269142509297}",25,0,39.38369579227527,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.1999999999999997, 'e': 0.02237077185616559}",30,20,15.71914419319156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.1999999999999997, 'e': 0.02192780089426161}",20,13,13.549227007419441,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.1999999999999997, 'e': 0.021493601345089923}",25,17,-6.842219433502365,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
194,False,"{'a': 0.1999999999999997, 'e': 0.021067999523041434}",30,17,25.024111854910842,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.1999999999999997, 'e': 0.020650825181712566}",25,11,26.75974080179885,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.1999999999999997, 'e': 0.02024191144580439}",20,15,9.163541398422385,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.1999999999999997, 'e': 0.019841094744370288}",20,4,31.157543959723576,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.1999999999999997, 'e': 0.01944821474538539}",20,16,6.983864606532123,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.1999999999999997, 'e': 0.019063114291611637}",20,10,18.458487769192292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.1999999999999997, 'e': 0.018685639337732773}",25,9,29.142608533073883,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.1999999999999997, 'e': 0.01831563888873418}",20,9,22.04006075433242,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.1999999999999997, 'e': 0.01795296493950285}",25,11,-15.059874710286135,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
203,False,"{'a': 0.1999999999999997, 'e': 0.017597472415623393}",20,12,14.854650428622064,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.1999999999999997, 'e': 0.017249019115346265}",30,22,13.090106439748958,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.1999999999999997, 'e': 0.01690746565270528}",25,0,40.91763546452135,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.1999999999999997, 'e': 0.016572675401761255}",20,6,25.35683333467472,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.1999999999999997, 'e': 0.01624451444194987}",20,9,22.97259641452846,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.1999999999999997, 'e': 0.015922851504511698}",20,7,10.881094457479518,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.1999999999999997, 'e': 0.01560755791998283}",20,11,15.450891504964762,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.1999999999999997, 'e': 0.015298507566725518}",25,15,18.565586422702047,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.1999999999999997, 'e': 0.014995576820477703}",20,7,21.850771273906158,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,15,18.327998955579133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,15.543185380057523,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,19,21.95607786072284,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,18.975620840892244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,24.02864858528148,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,8,27.24343388844497,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,11,17.12031421212534,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,15,11.381178778742932,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,23.833560035187062,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,6.187220015511915,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
